MUNICIPIO_COD;MREH0116;MREH0126;MREH0136;MREH0146;MREH0156;MREH0166;MREH0111;MREH0121;MREH0131;MREH0141;MREH0151;MREH0161;MREH0112;MREH0122;MREH0132;MREH0142;MREH0152;MREH0162;MREH0113;MREH0123;MREH0133;MREH0143;MREH0153;MREH0163;MREH0114;MREH0134;MREH0144;MREH0154;MREH0164;MREH0115;MREH0125;MREH0135;MREH0145;MREH0155;MREH0165;MREH02;MREH0316;MREH0326;MREH0336;MREH0346;MREH0356;MREH0366;MREH0311;MREH0321;MREH0331;MREH0341;MREH0351;MREH0361;MREH0312;MREH0322;MREH0332;MREH0342;MREH0352;MREH0362;MREH0313;MREH0323;MREH0333;MREH0343;MREH0353;MREH0363;MREH0314;MREH0334;MREH0344;MREH0354;MREH0364;MREH0315;MREH0325;MREH0335;MREH0345;MREH0355;MREH0365;MREH04
2404606;831;2;96;471;158;104;326;2;61;117;42;104;0;0;0;0;0;0;345;0;0;290;55;0;10;0;10;0;0;150;0;35;54;61;0;Sim;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
2404705;745;0;92;387;266;0;356;0;24;199;133;0;0;0;0;0;0;0;115;0;16;62;37;0;2;0;0;2;0;272;0;52;126;94;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2404804;272;1;73;123;75;0;209;1;55;98;55;0;0;0;0;0;0;0;46;0;18;13;15;0;0;0;0;0;0;17;0;0;12;5;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2404853;315;0;34;213;66;2;167;0;0;140;25;2;0;0;0;0;0;0;55;0;7;29;19;0;0;0;0;0;0;93;0;27;44;22;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2404903;297;0;46;98;121;32;172;0;40;53;47;32;33;0;0;10;23;0;61;0;0;29;32;0;15;0;0;15;0;16;0;6;6;4;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405009;397;0;72;180;110;35;252;0;55;112;50;35;0;0;0;0;0;0;43;0;2;18;23;0;0;0;0;0;0;102;0;15;50;37;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405108;428;8;93;202;125;0;179;8;49;45;77;0;0;0;0;0;0;0;60;0;16;29;15;0;0;0;0;0;0;189;0;28;128;33;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405207;266;2;15;152;97;0;184;2;15;95;72;0;13;0;0;0;13;0;36;0;0;24;12;0;0;0;0;0;0;33;0;0;33;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405306;385;0;67;106;174;38;267;0;55;74;116;22;0;0;0;0;0;0;76;0;3;21;42;10;0;0;0;0;0;42;0;9;11;16;6;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405405;321;0;17;199;105;0;179;0;13;105;61;0;0;0;0;0;0;0;36;0;4;18;14;0;0;0;0;0;0;106;0;0;76;30;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405504;317;18;132;92;37;38;191;18;59;62;19;33;0;0;0;0;0;0;96;0;73;10;8;5;0;0;0;0;0;30;0;0;20;10;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405603;620;0;120;242;178;80;381;0;56;131;114;80;0;0;0;0;0;0;85;0;13;44;28;0;0;0;0;0;0;154;0;51;67;36;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405702;518;0;36;236;138;108;352;0;23;138;116;75;0;0;0;0;0;0;36;0;1;19;15;1;83;10;64;0;9;47;0;2;15;7;23;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405801;1845;60;365;573;671;176;744;60;204;129;187;164;0;0;0;0;0;0;153;0;61;73;18;1;297;0;171;126;0;651;0;100;200;340;11;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2405900;187;0;40;55;60;32;62;0;13;15;22;12;0;0;0;0;0;0;97;0;27;40;30;0;0;0;0;0;0;28;0;0;0;8;20;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
2406007;366;0;80;122;164;0;251;0;68;80;103;0;0;0;0;0;0;0;75;0;0;37;38;0;0;0;0;0;0;40;0;12;5;23;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
